"","place","ward.A","dist.A","reg.A","pwd.A","wd.A","wdr.A","ward.B","dist.B","reg.B","wd.B","wdr.B","dist.A.dist","reg.A.dist","ward.A.dist","dist","dist_sum","acceptWDR"
"1","alabama","itete","malinyi.dc","morogoro","alabama-itete-malinyi.dc","itete-malinyi.dc","itete-malinyi.dc-morogoro","itete","malinyi.dc","morogoro","itete-malinyi.dc","itete-malinyi.dc-morogoro",0,0,0,NA,0,"acceptWDR0"
"2","alabama","minazini","malinyi.dc","morogoro","alabama-minazini-malinyi.dc","minazini-malinyi.dc","minazini-malinyi.dc-morogoro","malinyi","malinyi.dc","morogoro","malinyi-malinyi.dc","malinyi-malinyi.dc-morogoro",0,0,0.320238095238095,NA,0.320238095238095,NA
"3","alago","lalago","maswa.dc","simiyu","alago-lalago-maswa.dc","lalago-maswa.dc","lalago-maswa.dc-simiyu","lalago","maswa.dc","simiyu","lalago-maswa.dc","lalago-maswa.dc-simiyu",0,0,0,NA,0,"acceptWDR0"
"4","amewanunua.hapahapa.mnadani","ihowanza","mufindi.dc","iringa","amewanunua.hapahapa.mnadani-ihowanza-mufindi.dc","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa","ihowanza","mufindi.dc","iringa","ihowanza-mufindi.dc","ihowanza-mufindi.dc-iringa",0,0,0,NA,0,"acceptWDR0"
"5","anawanunua.hapa.mnadani","wanging.ombe","wanging.ombe.dc","njombe","anawanunua.hapa.mnadani-wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe","wanging.ombe","wanging.ombe.dc","njombe","wanging.ombe-wanging.ombe.dc","wanging.ombe-wanging.ombe.dc-njombe",0,0,0,NA,0,"acceptWDR0"
"6","asanje","babayu","bahi.dc","dodoma","asanje-babayu-bahi.dc","babayu-bahi.dc","babayu-bahi.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"7","azimio.mapula","kongolo","mbarali.dc","mbeya","azimio.mapula-kongolo-mbarali.dc","kongolo-mbarali.dc","kongolo-mbarali.dc-mbeya","kongolo","mbarali.dc","mbeya","kongolo-mbarali.dc","kongolo-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"8","azimio.mswiswi","kongolo","mbarali.dc","mbeya","azimio.mswiswi-kongolo-mbarali.dc","kongolo-mbarali.dc","kongolo-mbarali.dc-mbeya","kongolo","mbarali.dc","mbeya","kongolo-mbarali.dc","kongolo-mbarali.dc-mbeya",0,0,0,NA,0,"acceptWDR0"
"9","babayu","babayu","bahi.dc","dodoma","babayu-babayu-bahi.dc","babayu-bahi.dc","babayu-bahi.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"10","bagamoyo","bagamoyo","pwani","pwani","bagamoyo-bagamoyo-pwani","bagamoyo-pwani","bagamoyo-pwani-pwani","kanga","mafia.dc","pwani","kanga-mafia.dc","kanga-mafia.dc-pwani",0.45,0,0.341666666666667,NA,0.791666666666667,NA
"11","bahi","bahi","bahi.dc","dodoma","bahi-bahi-bahi.dc","bahi-bahi.dc","bahi-bahi.dc-dodoma","bahi","bahi.dc","dodoma","bahi-bahi.dc","bahi-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"12","bahi.sokoni","bahi","bahi.dc","dodoma","bahi.sokoni-bahi-bahi.dc","bahi-bahi.dc","bahi-bahi.dc-dodoma","bahi","bahi.dc","dodoma","bahi-bahi.dc","bahi-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"13","bangamoyo","bangamoyo","bahi.dc","dodoma","bangamoyo-bangamoyo-bahi.dc","bangamoyo-bahi.dc","bangamoyo-bahi.dc-dodoma","babayu","bahi.dc","dodoma","babayu-bahi.dc","babayu-bahi.dc-dodoma",0,0,0.296296296296296,NA,0.296296296296296,NA
"14","bankolo","lamaiti","bahi.dc","dodoma","bankolo-lamaiti-bahi.dc","lamaiti-bahi.dc","lamaiti-bahi.dc-dodoma","lamaiti","bahi.dc","dodoma","lamaiti-bahi.dc","lamaiti-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"15","bankolo","lmaaiti","bahi.dc","dodoma","bankolo-lmaaiti-bahi.dc","lmaaiti-bahi.dc","lmaaiti-bahi.dc-dodoma","lamaiti","bahi.dc","dodoma","lamaiti-bahi.dc","lamaiti-bahi.dc-dodoma",0,0,0.0476190476190477,NA,0.0476190476190477,"acceptWDR2"
"16","bankoro","lamaiti","bahi.dc","dodoma","bankoro-lamaiti-bahi.dc","lamaiti-bahi.dc","lamaiti-bahi.dc-dodoma","lamaiti","bahi.dc","dodoma","lamaiti-bahi.dc","lamaiti-bahi.dc-dodoma",0,0,0,NA,0,"acceptWDR0"
"17","bariadi","bariadi","bariadi.dc","simiyu","bariadi-bariadi-bariadi.dc","bariadi-bariadi.dc","bariadi-bariadi.dc-simiyu","bariadi","bariadi.tc","simiyu","bariadi-bariadi.tc","bariadi-bariadi.tc-simiyu",0.0666666666666668,0,0,NA,0.0666666666666668,"acceptWDR1"
"18","bariadi","misungwi","misungwi.dc","mwanza","bariadi-misungwi-misungwi.dc","misungwi-misungwi.dc","misungwi-misungwi.dc-mwanza","misungwi","misungwi.dc","mwanza","misungwi-misungwi.dc","misungwi-misungwi.dc-mwanza",0,0,0,NA,0,"acceptWDR0"
